beatmap_id,artist,title,version,dominant_mods,sr,farm_score,base_farm_score,confidence,confidence_label,efficiency_agreement,efficiency_disagreement,disagreement_penalty,pp_efficiency_shrunk,realized_efficiency_shrunk,overrep,profile_impact,median_position,top10_count,top20_count,top30_count,forgiveness,median_acc,pct_miss_free,median_combo_ratio,hit_length,cs,od,mean_pp,p90_pp,max_pp,raw_count,passcount,url
2283638,MIMI feat. Hatsune Miku,Ai no Sukima (Rock Cover),diuS' Insane,NM,5.39547,0.1871733250537394,0.1871733250537394,0.2,explore,corroborated,0.0,0.0,0.013305752326505525,0.003765692146207633,-0.16794893947112138,0.1859469851273179,41.0,1,1,2,1.7498337398694856,90.4077,0.2,0.6556169429097606,85,4.4,8.0,116.83246,167.6732,167.88,5,59778,https://osu.ppy.sh/b/2283638
1556336,ONE OK ROCK,Bombs away,Sotarks' Detonation,NM,5.05357,0.18601645733191846,0.21587849601573547,0.9581589958158996,high_conf,formula_only,0.09954012894605671,0.02986203868381701,0.02927961788851572,-0.006840063973259583,-0.7111654498404996,0.15587158035642534,57.0,17,49,101,0.3080088841755896,94.8914,0.4650655021834061,0.9624277456647399,73,4.0,9.0,191.68524126637556,403.167,503.582,458,2072385,https://osu.ppy.sh/b/1556336
1809440,Eldzhey,360,Sayonara,NM,5.13235,0.1855325078218482,0.1855325078218482,0.5348837209302325,supported,realized_only,0.0,0.0,-0.005208989636821823,0.018746566787777547,-0.07304311376586148,0.1834334562693095,72.0,4,4,6,-0.03314797727947325,95.62960000000001,0.5652173913043478,0.9967948717948718,62,3.6,9.0,142.09509130434782,189.5444,487.147,23,91521,https://osu.ppy.sh/b/1809440
1988748,MIMI feat. Hatsune Miku,Ai no Sukima,Extra,NM,4.99326,0.18355432300899074,0.18355432300899074,0.9819494584837545,high_conf,corroborated,0.0,0.0,0.007877236620856456,0.00789140205775384,0.3269616795460042,0.19662041978939138,45.0,146,259,384,-0.06902400835602385,97.0711,0.4788602941176471,0.9596541786743515,66,3.8,8.5,140.21648170955882,195.94420000000002,460.604,1088,2648187,https://osu.ppy.sh/b/1988748
2624904,Kola Kid,press start,Expert,NM,5.2452,0.18213283695157031,0.18213283695157031,0.8666666666666667,high_conf,realized_only,0.0,0.0,-0.015933416801407585,0.027215896045219075,0.33025807973097115,0.18148706828659772,45.5,13,26,33,-0.5440160451151946,97.992,0.7153846153846154,1.0,40,3.7,9.0,217.61160307692307,442.7531,509.58,130,157473,https://osu.ppy.sh/b/2624904
1477261,Eleharmonica remixed by kors k,Der Wald (kors k Remix),Jace's Insane,NM,5.11145,0.17847375277475921,0.19190778169335465,0.5,supported,formula_only,0.04478009639531815,0.013434028918595445,0.023170828729515175,-0.003888399031789022,-0.24850519442831046,0.1954244590839565,50.0,3,4,6,-0.6798331288106364,97.77865,0.75,0.9957219251336898,118,3.7,8.0,269.780155,522.3201,545.463,20,143991,https://osu.ppy.sh/b/1477261
2512373,Aimer,SPARK-AGAIN (TV Size),Reform's Expert,NM,5.13118,0.17728816488539373,0.17728816488539373,0.8148148148148148,high_conf,corroborated,0.0,0.0,0.012302992202459905,0.003744515160620381,-0.030742754814549716,0.1656753578553235,64.5,4,12,24,-0.233068571957609,96.05144999999999,0.6818181818181818,0.9960079840319361,87,3.5,9.0,247.70342045454544,443.4067,508.977,88,128709,https://osu.ppy.sh/b/2512373
1231936,Antiserum & Mayhem,Cry Baby,Extra,NM,5.25729,0.17709985885798132,0.17709985885798132,0.3333333333333333,explore,realized_only,0.0,0.0,-0.0013408500770051932,0.014870944503669636,-0.2443398536189997,0.14162364937891897,55.0,0,1,1,-0.5700386673466891,98.26085,0.7,0.9983108108108109,87,3.0,9.0,160.02956,191.22310000000002,196.057,10,80901,https://osu.ppy.sh/b/1231936
796721,SPYAIR,I'M A BELIEVER,Extra,NM,5.31717,0.17288826149162706,0.17288826149162706,0.9509803921568627,high_conf,realized_only,0.0,0.0,-0.0670735612720034,0.06819454823834428,0.7263889782109781,0.220774128781162,39.0,64,116,156,-0.4175143822987971,98.90870000000001,0.5257731958762887,0.9011627906976745,89,4.2,8.0,164.25753608247422,193.986,536.726,388,498837,https://osu.ppy.sh/b/796721
2761068,3 Nen E Gumi Utatan,Bye Bye YESTERDAY (TV Size),Infraction,NM,5.31586,0.1719074313261945,0.1719074313261945,0.8305084745762712,high_conf,realized_only,0.0,0.0,-0.009579206614576513,0.021157631522449177,0.35414766556991467,0.17574496197096914,49.5,6,17,29,-0.3103716626104268,98.31970000000001,0.5,0.8794964028776978,91,4.0,8.5,217.9381081632653,455.141,545.625,98,100285,https://osu.ppy.sh/b/2761068
2598921,Ikimonogakari,Netsujou no Spectrum (TV Size),Tsumi,NM,5.3169,0.17174829431978753,0.271125241780683,0.3103448275862069,explore,formula_only,0.3312564915363182,0.09937694746089545,0.04484973685877199,-0.014860446815290583,-0.23207985573441806,0.1630640174431931,64.0,1,1,3,2.266056211955333,88.2834,0.2222222222222222,0.4177215189873418,88,4.0,9.0,121.16362222222223,195.34060000000005,417.199,9,44239,https://osu.ppy.sh/b/2598921
5137253,Hikari no Naka ni,Blue Youth,Tachi's Expert,NM,5.07845,0.17083676653901747,0.21423152465015202,0.2857142857142857,explore,formula_only,0.14464919370378185,0.04339475811113455,0.031903003523785244,-0.009122456782809067,0.6147189867063686,0.17629518406618552,55.5,1,1,2,0.9392476212479234,96.89670000000001,0.125,0.41708542713567837,105,3.8,8.6,112.2839375,154.22349999999997,179.028,8,10410,https://osu.ppy.sh/b/5137253
2152330,HoneyWorks feat. sana,Ima Suki ni Naru.,Emotions,NM,5.16127,0.16960435124810896,0.4798395731206771,0.4444444444444444,explore,formula_only,1.0341174062418939,0.31023522187256813,0.08015712971942938,-0.025957033641962744,-0.10259461089946227,0.1272941028736934,70.0,0,0,1,0.04632747713281375,95.3455,0.5625,0.9948275862068966,106,4.0,9.0,146.67464999999999,181.685,461.988,16,73278,https://osu.ppy.sh/b/2152330
3317508,Ogura Yui,Honey Come!! (TV Size),Expert,NM,5.38386,0.16758534537673578,0.29520232606048724,0.4444444444444444,explore,formula_only,0.4253899356125049,0.12761698068375146,0.05008406870336361,-0.01708893418898573,0.22982086986227532,0.13814412036823748,67.0,1,1,2,0.4840799116143666,93.84495,0.5,0.9418819188191883,88,4.0,8.8,150.2127875,221.1135,239.025,16,24035,https://osu.ppy.sh/b/3317508
4477646,Masatoshi Ono,departure! (TV Size),Journey,NM,5.06281,0.16460965339946865,0.16460965339946865,0.2,explore,corroborated,0.0,0.0,0.011561167885646133,0.0032728470805553156,0.24390974922550973,0.1705269964732642,46.0,0,1,2,2.185376791906267,88.5311,0.2,0.43884892086330934,76,4.2,8.4,129.84196,256.67604000000006,381.067,5,20076,https://osu.ppy.sh/b/4477646
1908514,HOME MADE KAZOKU,Thank You!! (TV Size),Extra,NM,5.02949,0.16279304868045935,0.16279304868045935,0.375,explore,corroborated,0.0,0.0,0.008593296542632486,0.005542215291960876,0.13861562495048102,0.16034492552672439,53.5,0,1,4,0.9454778132249995,93.839,0.3333333333333333,0.6885026737967914,59,4.0,8.0,140.8466,371.1144000000001,417.871,12,62433,https://osu.ppy.sh/b/1908514
1792026,Hyper Potions,Time Trials,Insane,NM,4.9471,0.16207372518243865,0.16207372518243865,0.42857142857142855,explore,realized_only,0.0,0.0,-0.019979053157984365,0.028815088053984285,-0.07282851247321968,0.14634088602489534,50.0,0,0,3,-0.3456230189244976,97.813,0.5333333333333333,0.9897959183673469,71,3.8,8.0,149.58462,257.03639999999996,329.585,15,74826,https://osu.ppy.sh/b/1792026
2512374,Aimer,SPARK-AGAIN (TV Size),Smoke's Extra,NM,5.20096,0.16188961676755892,0.20581010638692612,0.6153846153846154,supported,formula_only,0.14640163206455736,0.04392048961936721,0.03135833641059542,-0.009393344981174822,0.347158154187815,0.15982467311625176,52.0,1,4,9,0.8953892873504584,93.56245000000001,0.375,0.6680497925311204,87,3.8,9.0,150.3639125,387.33630000000005,489.49,32,71676,https://osu.ppy.sh/b/2512374
4776779,Linkin Park,The Emptiness Machine (Cut Ver.),Sytho's Extra,NM,5.34092,0.16171329217893052,0.32306397543546,0.7183098591549296,supported,formula_only,0.5378356108550983,0.1613506832565295,0.05580326846147158,-0.019391762635834135,0.9431580824025201,0.16000945335134534,56.0,2,6,15,0.9242231956190794,95.59339999999999,0.0784313725490196,0.7083926031294452,116,3.8,9.0,161.93652745098038,407.632,517.119,51,40751,https://osu.ppy.sh/b/4776779
